LSRNumber,LSRTitle,BillNumber,BillAnalysis,BillURL,PrimeSponsor,Sponsors,pubDate
21-0448,relative to guilt by association and defamation by media outlets.,,,,Al Baldasaro,Scott Wallace,12/30/2020
21-0449,"establishing a committee to study the response of law enforcement and the criminal justice system to homelessness in New Hampshire.
",,,,Nicole Klein-Knight,"Linda Massimilla, Donald Bouchard, Willis Griffith, Deb Stevens, Tony Labranche, Melbourne Moran, Ariel Oxaal",1/5/2021
21-0450,relative to the maximum allowable vehicle gross weight for a combination of truck-tractor and single semi-trailer with 4 or more axles.,,,,Howard Pearl,"Karel Crawford, Michael Moffett, Timothy Lang, Erin Hennessey",1/5/2021
21-0452,relative to the purchase of output of limited electrical energy producers.,,,,Howard Pearl,"Lee Oxenham, Timothy Lang",12/1/2020
21-0453,relative to the sale of alcoholic beverages in refillable containers.,,,,Andrew Prout,"David Binford, Casey Conley, Mike Bordes, Cody Belanger",11/30/2020
21-0454,allowing the destruction of valueless contraband by the chief of police.,,,,Patrick Long,,12/29/2020
21-0455,"relative to the authority of the state fire marshal to grant an exemption from fire code requirements to recovery houses.
",,,,Erika Connors,"Lou D'Allesandro, Jeffrey Goley, Patricia Cornell, Kendall Snow",1/5/2021
21-0456,relative to consideration of home-share income and exempting rentals of shared facilities from requirements under the real estate practice act.,,,,Anita Burroughs,"Jeb Bradley, Karen Umberger, Jerry Knirk, Stephen Woodcock",12/23/2020
21-0457,relative to the appointment of bail commissioners.,,,,Joe Alexander,"Sharon Carson, William Infantine, Peter Schmidt, Timothy Lang, David Meuse, Lisa Post",12/4/2020
21-0458,establishing a committee to study the requirements of reporting by utility companies of information required for valuation of certain utility property for purposes of RSA 72.,,,,Troy Merner,Patrick Abrami,11/30/2020
21-0459,"establishing a commission to study the equalization rate used for the calculation of a property tax abatement by the New Hampshire board of tax and land appeals, the superior court, and all cities, towns, and counties.",,,,Troy Merner,,12/21/2020
21-0460,prohibiting the issuance of an on premises license for an establishment within 100 feet from a place being used as a residential dwelling. ,,,,Aboul Khan,,1/5/2021
21-0462,relative to state participation in low carbon fuel standards programs.,,,,Jeanine Notter,"Glen Aldrich, Jason Osborne, Michael Vose, Michael Harrington",12/7/2020
21-0465,"relative to the collection of sales taxes of foreign jurisdictions by New 
Hampshire businesses.

",,,,Michael Harrington,,12/7/2020
21-0466,allowing a school district to exempt its chief administrative officer from compulsory participation in the retirement system.,,,,Patrick Long,,1/5/2021
21-0467,making an appropriation to the department of environmental services for the purpose of funding public water system projects.,,,,Thomas Buco,"Jeb Bradley, David Watters, Peter Leishman, William Hatch, Karen Umberger",12/24/2020
21-0468,exempting the state and political subdivisions from payment of the costs of compliance with the renewable portfolio standard.,,,,Michael Vose,"Glenn Cordelli, Timothy Lang, David Binford, Howard Pearl, Jess Edwards, Juliet Harvey-Bolia",1/5/2021
21-0469,making an appropriation to the department of environmental services for funding eligible wastewater projects.,,,,Thomas Buco,"David Watters, Peter Leishman, Karen Umberger",1/4/2021
21-0470,requiring schools to update documents and software to include the option of identifying a student as non-binary.,,,,Stephen Woodcock,"Linda Tanner, Dan Wolf, Anita Burroughs, Rosemarie Rung, Arthur Ellison, Gerri Cannon, Sue Mullen",12/28/2020
21-0471,relative to the amortization of retirement system unfunded accrued liability.,,,,Michael O'Brien,,11/25/2020
21-0472,relative to manslaughter and the use of deadly force in circumstances involving the sale or use of a controlled drug or controlled drug analog.,,,,Kenneth Vincent,,11/30/2020
21-0473,establishing the crime of unsolicited disclosure of an intimate image.,,,,Allison Nutting-Wong,Sherry Frost,1/5/2021
21-0474,"relative to availability of menstrual hygiene products in schools.
",,,,Jess Edwards,"Katherine Prudhomme-O'Brien, Judy Aron",12/4/2020
21-0475,increasing the threshold for reporting by political committees.,,,,Jess Edwards,,12/28/2020
21-0477,"relative to the membership of local land use boards.
",,,,Peter Somssich,"Gerald Ward, David Meuse, Joan Hamblet",1/5/2021
21-0478,"prohibiting the sharing of location data.
",,,,Kurt Wuelper,"Marjorie Smith, Linda Gould, Dave Testerman, Kevin Verville, Scott Wallace, Tony Lekas",12/4/2020
21-0480,establishing a committee to study applications of microgrids in electricity supply.,,,,Peter Somssich,"David Meuse, Joan Hamblet",12/30/2020
21-0481,"relative to workers' compensation for heart and lung disease in firefighters.
",,,,Mark Pearson,"Jeffrey Goley, Steve Shurtleff, Michael O'Brien, Timothy Soucy, Fred Doucette, Kevin Pratt, Stephen Pearson, Tom Lanzara",12/3/2020
21-0483,relative to takings of property in a declared emergency.,,,,Michael Sylvia,Alicia Lekas,12/28/2020
21-0484,"relative to the indication of blood type on drivers’ licenses and nondrivers’ picture identification cards.
",,,,Harry Bean,,12/30/2020
21-0485, designating police and fire dispatchers as group II members of the retirement system.,,,,Douglas Trottier,"Mike Bordes, Richard Littlefield, Juliet Harvey-Bolia, Travis O'Hara",12/4/2020
21-0487,relative to filling certain vacancies among members of school boards and other school district offices.,,,,Rosemarie Rung,David Danielson,12/3/2020
21-0488,"establishing a commission to study the short and long term impacts of pending national and regional carbon pricing mechanisms on New Hampshire’s residents, agriculture, wildlife and natural resources-based tourism sector, and commercial enterprises.  ",,,,Lee Oxenham,,12/30/2020
21-0490,"abolishing fluoridation in water.
",,,,Leah Cushman,"Peter Schmidt, Raymond Howard, Max Abramson, Michael Moffett, David Binford, Jose Cambrils",12/3/2020
21-0491,relative to the quarterly or semi-annual collection of taxes in certain municipalities.,,,,Marjorie Porter,Julie Gilman,12/28/2020
21-0492,relative to proceedings of the public utilities commission on rates and charges.,,,,Michael Harrington,Michael Vose,12/9/2020
21-0493,relative to distracted walking and pedestrian safety.,,,,Robert Theberge,,12/3/2020
21-0494,relative to license plate covers.,,,,Stephen Pearson,,12/18/2020
21-0495,relative to the purchase of output of limited electrical energy producers in intrastate commerce and including qualifying storage system.,,,,Kat McGhee,,1/5/2021
21-0497,relative to the establishment of a joint legislative emergency executive order oversight committee during a declared state of emergency.,,,,Timothy Lang,"Michael Moffett, William Marsh, Howard Pearl, Jess Edwards, Joe Alexander, Deborah Hobson, Judy Aron, Mike Bordes",12/28/2020
21-0498,relative to the revised uniform law on notarial acts and the uniform real property electronic recording act.,,,,Kevin Cavanaugh,"David Danielson, Erin Hennessey",1/5/2021
21-0499,establishing a commission to study the utility rate structure of demand charges.,,,,Peter Leishman,Karen Umberger,12/30/2020
21-0500,relative to the election of Grafton county commissioners.,,,,Edward Gordon,"Susan Almy, Rick Ladd, Suzanne Smith, George Sykes, Erin Hennessey",11/25/2020
21-0501,"repealing the therapeutic use of cannabis advisory council.
",,,,Dennis Acton,,12/7/2020
21-0502,relative to operation of recreational vehicles on state highways.,,,,Peter Leishman,,12/29/2020
21-0503,"relative to laboratory testing.
",,,,Jess Edwards,"William Marsh, Brodie Deshaies",1/5/2021
21-0504,relative to electronic notice.,,,,Tom Dolan,"Max Abramson, William Marsh, Jess Edwards, Jim Maggiore, Tony Lekas, John MacDonald, Mike Bordes, Brodie Deshaies",1/5/2021
21-0505,relative to a statewide student assessment report.,,,,Rick Ladd,"Kenneth Weyler, Ralph Boehm, Karen Umberger, Steven Smith, Glenn Cordelli, Jason Osborne, Alicia Lekas",12/3/2020
21-0506,repealing the emergency medical services personnel licensure interstate compact.,,,,Cindy Rosenwald,"Sharon Carson, Jeffrey Goley, Michael O'Brien, David Milz, Kevin Cavanaugh, Stephen Pearson",12/9/2020
21-0510,relative to the energy consumption reduction goal.,,,,Michael Harrington,,12/30/2020
21-0511,relative to training and procedures for zoning and planning boards and relative to financial investments and incentives for affordable housing development.,,,,Joe Alexander,"Karen Umberger, Richard Lascelles, Anita Burroughs, Willis Griffith, Erin Hennessey, Rebecca Perkins Kwoka",12/30/2020
21-0512,relative to historic horse racing.,,,,Patrick Abrami,"Donna Soucy, John Graham, Fred Doucette, Timothy Lang, Kevin Cavanaugh, Casey Conley, Jennie Gomarlo, Erin Hennessey",1/5/2021
21-0513,relative to permitting fees under the shoreland protection act.,,,,Howard Pearl,"Al Baldasaro, Timothy Lang, Bill Gannon, Harold French",11/30/2020
21-0514,relative to sports book locations.,,,,Timothy Lang,"Michael Moffett, Howard Pearl, Scott Wallace, Tony Lekas, Mike Bordes, Douglas Trottier, Cody Belanger",11/17/2020
21-0515,"relative to electronic cigarettes and the disposal of electronic cigarette devices.
",,,,David Watters,,12/1/2020
21-0516,relative to the local option for sports betting.,,,,Timothy Lang,"Michael Moffett, Howard Pearl, Douglas Trottier",12/29/2020
21-0517,relative to changing a pupil's school or assignment because of a manifest educational hardship.,,,,Rick Ladd,"Barbara Shaw, Ralph Boehm, Joseph Pitre, Glenn Cordelli",12/8/2020
21-0518,relative to Keno.,,,,Timothy Lang,"Mike Bordes, Gregg Hough, Dawn Johnson, Douglas Trottier",12/30/2020
21-0519,relative to deadlines for consideration of developments of regional impact by planning boards.,,,,Brian Seaworth,Regina Birdsell,12/7/2020
21-0520,relative to domestic insurance company investments.,,,,Lou D'Allesandro,"David Watters, John Hunt",12/24/2020
21-0521,relative to itemized statements filed by political committees and candidates.,,,,James Gray,,12/17/2020
21-0522,relative to assault of a campaign worker at the polling place.,,,,Katherine Prudhomme-O'Brien,"David Love, Bob Lynn",1/5/2021
21-0523,"relative to the municipal winter maintenance certification program.
",,,,Chuck Morse,,12/4/2020
21-0524,relative to the sale and distribution of kratom products.,,,,Hershel Nunez,Aidan Ankarberg,1/5/2021
21-0525,relative to the ability of the public to observe the processing and counting of absentee ballots.,,,,David Love,"Joseph Pitre, Katherine Prudhomme-O'Brien, Scott Wallace",12/18/2020
21-0526,relative to the restoration of involuntarily merged lots.,,,,Rebecca McBeath,,12/30/2020
21-0529,relative to verification of voter checklists.,,,,Erica Layon,"John Potucek, Katherine Prudhomme-O'Brien, Douglas Thomas, Regina Birdsell, David Love",12/23/2020
21-0530,requiring that voters show identification when personally delivering absentee ballots to town and city clerks.,,,,Katherine Prudhomme-O'Brien,"Max Abramson, John Potucek, Chris True, David Love, Beth Folsom",12/23/2020
21-0531,establishing a division of investigation and compliance in the lottery commission.,,,,Patrick Abrami,"Fred Doucette, Daryl Abbas",1/4/2021
21-0533,"relative to the aggregation of electric customers.
",,,,Michael Vose,"Douglas Thomas, Michael Harrington",12/30/2020
21-0534,relative to the duty of school superintendents regarding criminal history records checks.,,,,Sue Mullen,"Mel Myler, Linda Tanner, Patricia Cornell, Stephen Woodcock, Megan Murray, James Allard",12/11/2020
21-0535,permitting qualifying patients and designated caregivers to cultivate cannabis for therapeutic use.,,,,Dennis Acton,Robert Renny Cushing,12/11/2020
21-0536,relative to including electrical storage facilities in the definition of energy facility.,,,,Michael Harrington,,12/24/2020
21-0537,relative to determining the qualifications of voters and establishing provisional voter registration and provisional ballots.,,,,Bob Lynn,Max Abramson,12/11/2020
21-0538,relative to the perambulation of town lines.,,,,Michael Harrington,,12/10/2020
21-0539,"relative to out-of-state applicants occupational licensure or certification.
 ",,,,Michael Harrington,,12/28/2020
21-0540,relative to candidate background checks for law enforcement officers.,,,,Tom Dolan,Tony Lekas,12/29/2020
21-0541,relative to the protection of fetal life.,,,,Beth Folsom,"Jeanine Notter, Linda Gould, Katherine Prudhomme-O'Brien, Regina Birdsell, Maureen Mooney, Walter Stapleton, Ruth Ward",12/15/2020
21-0542,relative to broadband access to pole attachments.,,,,William Marsh,"Jeb Bradley, Karel Crawford, Bill Nelson, Jerry Knirk, Jay Kahn, John MacDonald, Brodie Deshaies",12/11/2020
21-0543,relative to the computation of renewable energy credits.,,,,Michael Harrington,,12/23/2020
21-0545,"requiring certain licensing and reporting functions be conducted through the Nationwide Multistate Licensing System and Registry, and relative to background investigations of trust officers, to certain filing fees, assessments, and interest rates, and to the transmission of consumer complaints by the banking department.",,,,John Hunt,,12/8/2020
21-0546,establishing the position of chief information security officer and deputy chief information security officer in the department of information technology.,,,,Lynne Ober,,12/10/2020
21-0547,relative to the creation and use of electronic records by government agencies.,,,,Lynne Ober,,12/28/2020
21-0548,"relative to deadlines in consumer credit applications, licensing requirements for mortgage loan originators, examinations of family trust companies, delegation by credit union boards to committees, qualifications of the banking commissioner, and authorizing depository banks to elect benefit corporation status.

",,,,John Hunt,,12/30/2020
21-0549,relative to a private school that is approved as school tuition program by the school board.,,,,Rick Ladd,"John Reagan, Ralph Boehm, Al Baldasaro, Carol McGuire, Glenn Cordelli, Jason Osborne, Gregory Hill, Walter Stapleton, Ruth Ward, James Allard, Erin Hennessey",12/29/2020
21-0550,"relative to the procedure for adoption of a minor child.

",,,,Cody Belanger,"Sharon Carson, John Reagan, Max Abramson, Katherine Prudhomme-O'Brien, David Love, Mike Bordes, Melissa Blasek, Vanessa Sheehan",12/15/2020
21-0551,relative to revenue estimates while operating under emergency orders caused by the COVID-19 pandemic.,,,,Norman Major,,12/15/2020
21-0552,"establishing a committee to study the taxation of property owners on private roads.
",,,,Max Abramson,,12/30/2020
21-0553,relative to the state preemption of the regulation of firearms and ammunition.,,,,Norman Silber,"Linda Gould, Michael Yakubovich",12/2/2020
21-0554,proclaiming April 11 as Wentworth Cheswill Day.,,,,Charlotte DiLorenzo,"Robert Renny Cushing, Michael Cahill, Linda Harriott-Gathright, Latha Mangipudi, Barbara Griffin, Betty Gay, Ellen Read, Peter Petrigno, Rebecca Perkins Kwoka",12/30/2020
21-0555,relative to the offenses that prevent employment in a school.,,,,Sue Mullen,"Linda Tanner, Patricia Cornell, Stephen Woodcock, James Allard",12/9/2020
21-0556,relative to shoreland septic systems.,,,,Judith Spang,David Watters,12/23/2020
21-0559,relative to an extended term of imprisonment for assaulting military personnel.,,,,Mike Bordes,"David Binford, Gregg Hough, Dawn Johnson, Douglas Trottier, Travis O'Hara",12/24/2020
21-0560,relative to college or university student voting.,,,,Al Baldasaro,"Michael Moffett, Howard Pearl, Scott Wallace, Jose Cambrils",12/11/2020
21-0561,relative to membership in risk pools.,,,,Kevin Cavanaugh,Lou D'Allesandro,12/9/2020
21-0562,establishing a commission to study ways to reduce texting while driving.,,,,Peter Torosian,"Linda Gould, John Janigian",12/15/2020
21-0563,"relative to residency under auto insurance policies.
",,,,Harold French,"John Reagan, Howard Pearl, Tom Sherman, Erin Hennessey, Denise Ricciardi",12/9/2020
21-0564,relative to organ donation on a driver's license.,,,,Peter Torosian,"James Spillane, John Janigian, Tony Piemonte",12/28/2020
21-0565,relative to the board of pharmacy.,,,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=565&txtFormat=html,Gary Merchant,Linda Massimilla,12/30/2020
21-0566,"establishing a commission to study the implementation of enhanced automation of traffic lights. 
",,,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=566&txtFormat=html,Peter Torosian,"Linda Gould, James Spillane, Chris True, John Janigian",12/30/2020
21-0567,"relative to pharmacist provider status and nicotine cessation therapy.
",,,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=567&txtFormat=html,Gary Merchant,"William Marsh, Jerry Knirk, Gary Woods, Suzanne Prentiss, Brodie Deshaies, James Murphy",12/9/2020
21-0568,"relative to reimbursements for telemedicine.
",,,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=568&txtFormat=html,Jess Edwards,"John Hunt, Jason Osborne",12/29/2020
21-0569,allowing the prepayment of dog licensing fees for the duration of a rabies vaccination and reducing fines related thereto.  ,,,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=569&txtFormat=html,Erica Layon,Katherine Prudhomme-O'Brien,12/30/2020
21-0570,repealing the prohibition on entering or remaining on a public way or sidewalk adjacent to a reproductive health care facility.,,,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=570&txtFormat=html,Niki Kelsey,"Jeb Bradley, Jeanine Notter, Linda Gould, Gary Daniels, Regina Birdsell, Kevin Avard, Maureen Mooney, Walter Stapleton, Mark Pearson, Hershel Nunez, Denise Ricciardi, Matthew Simon, Vanessa Sheehan, Tim Baxter",12/30/2020
21-0571,relative to the one-half credit required course in United States and New Hampshire government and civics.,,,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=571&txtFormat=html,John Janigian,"Robert Elliott, Michael Edgar, Betty Gay, Peter Torosian",12/22/2020
21-0572,relative to the procedures for apportioning electoral districts.,,,,Dan Wolf,"Marjorie Smith, Karen Ebel, Edward Gordon, Betty Gay",12/24/2020
21-0582,relative to the portion of a minimum sentence to be served to be eligible for parole.,,,,Linda Harriott-Gathright,"Patricia Klee, Ray Newman, Daryl Abbas",12/29/2020
21-0584,establishing a renter's insurance notification requirement.,,,,John Janigian,"Chuck Morse, Michael Edgar, Betty Gay, Daryl Abbas, Everett McBride",12/9/2020
21-0585,requiring the Gorham town clerk to be appointed by the board of selectmen.,,,,William Hatch,,12/9/2020
21-0588,relative to the definition of political advocacy organization.,,,,Connie Lane,,12/30/2020
21-0589,relative to current use tax rate eligibility.,,,,Ellen Read,Rosemarie Rung,12/30/2020
21-0591,"relative to cruelty to a wild animal, fish, or wild bird.",,,,Ellen Read,"Jeb Bradley, David Watters, Janet Wall, Debra DeSimone, Patrick Abrami, David Danielson, James Spillane, Betty Gay, Kate Murray, Tom Sherman, Amanda Toll",12/30/2020
21-0593, relative to contract powers of condominium unit owners' associations.,,,,Ellen Read,Tom Sherman,12/1/2020
21-0594,relative to the term served by a bail commissioner.,,,,Ross Berry,,1/4/2021
21-0596,"relative to permissible campaign contributions by business organizations and labor unions.
",,,,Ellen Read,"Robert Elliott, Timothy Smith, Joseph Guthrie, Betty Gay, Jerry Knirk, Charlotte DiLorenzo, Chuck Grassie, Connie Lane",12/3/2020
21-0597,limiting renewal of states of emergency.,,,,Andrew Prout,Lynne Ober,12/3/2020
21-0600,relative to guardianship by grandparents.,,,,Harold French,"Sharon Carson, David Watters, John Reagan, Kevin Avard, Jay Kahn, Bill Gannon, Tom Sherman, Erin Hennessey, Suzanne Prentiss, Rebecca Whitley",12/22/2020
21-0601,relative to the commission to study school funding.,,,,Glenn Cordelli,"Kenneth Weyler, Ralph Boehm, Al Baldasaro, Claire Rouillard",12/29/2020
21-0602,relative to eligibility for the low and moderate income homeowners property tax relief.,,,,Sallie Fellows,"Mary Beth Walz, Edward Gordon",12/7/2020
21-0603,prohibiting corporal punishment of children in state agency programs.,,,,Debra Altschiller,"Paul Berch, Kendall Snow, Jaci Grote, Amanda Toll",12/16/2020
21-0604,requiring The Universal Declaration of Human Rights to be placed in all public schools.,,,,Ellen Read,,12/30/2020
21-0605,establishing a solid waste working group on solid waste management planning and relative to compost.,,,,Karen Ebel,"David Watters, John Graham, Suzanne Smith, Linda Massimilla, David Milz, George Sykes, Dan Wolf, Troy Merner, Ruth Ward, Sparky Von Plinsky, Megan Murray, Erin Hennessey, Suzanne Prentiss, Rebecca Whitley",12/30/2020
21-0606,relative to municipal estimates of expenditures and revenues.,,,,Michael Yakubovich,Tony Piemonte,1/5/2021
21-0607,relative to the direct shipping of liquor.,,,,Lou D'Allesandro,Chuck Morse,1/4/2021
21-0608,relative to treatment of PFAS contaminants in the drinking water of the Merrimack Village Water District.,,,,Maureen Mooney,"Sharon Carson, Robert Renny Cushing, Jeanine Notter, Kimberly Rice, Gary Daniels, Tom Sherman, Rosemarie Rung, Robert Healey, Mary Mayville",12/23/2020
21-0609,relative to animals in motor vehicles.,,,,Tom Sherman,,1/5/2021
21-0611,changing the requirement that a member of the sponsoring charitable organization be present during certain games of chance.,,,,Tom Sherman,"Lou D'Allesandro, Peter Leishman, Harold French",12/1/2020
21-0612,allowing hobby distillation of liquors.,,,,Scott Wallace,"Ralph Boehm, Al Baldasaro, Keith Ammon, Gregory Hill, Timothy Lang, Howard Pearl, Bob Giuda",12/8/2020
21-0613,relative to evacuations under a state of emergency.,,,,Tony Lekas,,1/4/2021
21-0614,"establishing the office of the right-to-know ombudsman and making an appropriation therefor.
",,,,Charlotte DiLorenzo,"Kenneth Weyler, Robert Renny Cushing, Marjorie Smith, Gary Hopper, Jordan Ulery, Bob Giuda, Diane Langley, Cindy Rosenwald, Gail Sanborn",12/17/2020
21-0616,relative to the expectation of privacy.,,,,Keith  Erf,"Gary Hopper, Jess Edwards, Ruth Ward",12/18/2020
21-0617,establishing consumer protections regarding Internet service provider outages and download speeds.,,,,Terry Roy,,12/30/2020
21-0619,relative to the powers of the governor during a renewal of a declared state of emergency.,,,,Terry Roy,"Suzanne Vail, Lino Avellani, Leah Cushman, Erica Layon, Cody Belanger",12/18/2020
21-0620,relative to municipal taxes.  Providing that municipalities may not raise property taxes greater than 2 percent per year and no greater than 1 percent per year on disabled citizens or senior citizens.,,,,Terry Roy,"John Potucek, Barbara Comtois, Judy Aron",12/9/2020
21-0621,prohibiting surveillance by the state on public ways or sidewalks.,,,,Keith  Erf,Mark Warden,12/30/2020
21-0622,relative to restraining orders issued in a parenting case. ,,,,Debra DeSimone,"Al Baldasaro, Regina Birdsell",12/30/2020
21-0623,relative to temporary relief and permanent restraining orders issued in a divorce proceeding.,,,,Debra DeSimone,"Al Baldasaro, Regina Birdsell, Robert Harb",1/5/2021
21-0624,"relating to firearms.  Providing that the legislature make no law restricting  the right to own, carry, or use firearms or firearm accessories.",,,,Terry Roy,,12/30/2020
21-0626,requiring law enforcement officers to inform a person of their right to refuse a consensual search.,,,,Terry Roy,"Lino Avellani, Max Abramson, John Potucek, David Binford, Sallie Fellows, Nicole Klein-Knight, Andrew Bouldin, Bill King, Melbourne Moran",12/17/2020
21-0627,relative to police disciplinary hearings.,,,,Terry Roy,"John Reagan, Peter Bixby, John Bordenet, John Potucek, James Spillane, David Welch, Mark King, Sherry Frost, Deb Stevens, Melbourne Moran",12/29/2020
21-0628,"relative to the state education property tax and the low and moderate income homeowners property tax relief program.
",,,,Richard Ames,"Marjorie Porter, Mary Heath, David Luneau",1/4/2021
21-0629,"relative to the tax expenditure report and relative to delaying the enactment of the single sales factor under the business profits and business enterprise taxes.
",,,,Patrick Abrami,Richard Ames,12/30/2020
21-0630,apportioning delegates to state party conventions.,,,,Barbara Griffin,,12/30/2020
21-0631,apportioning state representative districts.,,,,Barbara Griffin,,12/30/2020
21-0632,apportioning county commissioner districts.,,,,Barbara Griffin,,12/30/2020
21-0633,relative to retroactive denials of previously paid claims.,,,,Constance Van Houten,"John Reagan, Patrick Abrami, David Luneau, Rebecca McBeath, Donna Ellis",12/10/2020
21-0634,apportioning state senate districts.,SB 14,This bill allows the liquor commission to register trade names with the secretary of state to operate as a direct shipper of liquor and wine.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=634&txtFormat=html,Barbara Griffin,,12/30/2020
21-0635,apportioning executive council districts.,,,,Barbara Griffin,,12/30/2020
21-0636,apportioning congressional districts.,,,,Barbara Griffin,,12/18/2020
21-0637,relative to the responsibilities of an elected animal control officer.,,,,Scott Wallace,Bill Gannon,12/30/2020
21-0638,relative to the suspension of drivers' licenses and creating a committee to study the creation of a restricted driving license for participants in drug court.,,,,George Sykes,Nicole Klein-Knight,12/8/2020
21-0639,relative to the designation of office on ballots.,,,,Gerald Griffin,,12/29/2020
21-0640,"relative to the attendance of certain public officials at meetings.
",,,,Jeanine Notter,James Spillane,1/5/2021
21-0641,relative to the Pease development authority board of directors.,,,,Tom Sherman,"Dennis Malloy, James Gray, Joan Hamblet",12/30/2020
21-0642,prohibiting the use of public funds for abortions.,,,,Vanessa Sheehan,"Debra DeSimone, Linda Gould, Kimberly Rice, Gary Daniels, Maureen Mooney, Ruth Ward, Mark Pearson, Denise Ricciardi, Matthew Simon, Bill King, Diane Pauer, Jim Creighton",12/15/2020
21-0643,relative to cybersecurity incident reporting and recommended cybersecurity standards for political subdivisions.,,,,Cindy Rosenwald,"Sharon Carson, Peter Leishman, Karen Ebel",12/30/2020
21-0645,shielding journalists from mandatory disclosure of sources by subpoena.,,,,Ellen Read,,12/17/2020
21-0646,relative to review of planning board decisions.,,,,Benjamin Baroody,,12/30/2020
21-0647,"relative to budget committee recommendations on warrant articles.
",,,,Diane Pauer,"Jeanine Notter, Norman Silber, Michael Yakubovich",12/29/2020
21-0648,relative to election officers at additional polling places.,,,,Betty Gay,"Chuck Morse, John Sytek, Robert Elliott, Joseph Pitre, Joe Sweeney, Dan Wolf, John Janigian, Everett McBride, Peter Hayward, Wayne MacDonald",12/15/2020
21-0649,prohibiting certain political advertising.,,,,William Infantine,,11/30/2020
21-0650,relative to supreme court reporting.,,,,Marjorie Smith,,11/30/2020
21-0651,relative to the use of campaign contributions for personal use expenditures.,,,,Anita Burroughs,"Marjorie Smith, Mark McLean, Charlotte DiLorenzo, Jaci Grote, Wendy Chase",12/23/2020
21-0652,prohibiting the production of a drivers' license or nondrivers' picture identification card as a condition of conducting certain business.,,,,Jordan Ulery,,12/15/2020
21-0653,relative to verification of ballots cast in an election.,,,,Jess Edwards,Travis O'Hara,12/29/2020
21-0654,relative to the powers of city councils.,,,,Melissa Blasek,"Andrew Prout, Peter Torosian, Scott Wallace, Dawn Johnson, Juliet Harvey-Bolia, Leah Cushman",12/23/2020
21-0655,relative to the disclosure of information from vital records.,,,,Lynne Ober,"Sharon Carson, Peter Leishman, Carol McGuire, Karen Umberger",12/30/2020
21-0656,relative to electronic filing of state tax returns.,,,,Michael Gunski,Joe Alexander,12/4/2020
21-0657,relative to the membership and duties of the legislative youth advisory council.,,,,Gregory Hill,"Carol McGuire, Steven Smith, Kimberly Rice, Claire Rouillard, Norman Silber, Howard Pearl",12/30/2020
21-0658,relative to the protection of religious liberty.,,,,Jim Kofalt,"Keith Ammon, Kevin Avard, Hershel Nunez, Susan Homola",12/30/2020
21-0659,establishing a New Hampshire commission on homelessness.,,,,Patrick Long,Matthew Wilhelm,12/23/2020
21-0660,establishing a committee to study cases involving the determination of parental rights and responsibilities.,,,,Patrick Long,"Debra DeSimone, Safiya Wazir",12/15/2020
21-0661,relative to lien assessments by condominium associations.,,,,William Infantine,,12/15/2020
21-0662,relative to the charitable gift annuities exemption.,,,,William Infantine,,12/24/2020
21-0663,"relative to motor vehicle insurance policy minimums.
",,,,William Infantine,,12/4/2020
21-0664,"relative to scuba equipment.
",,,,Robert Harb,,12/30/2020
21-0666,"relative to property tax valuations.
",,,,Jacqueline Cali-Pitts,"Max Abramson, Sallie Fellows",12/30/2020
21-0667,relative to penalties for a school's failure to file department of education reports.,,,,Glenn Cordelli,"Rick Ladd, Joseph Pitre, Erica Layon",12/29/2020
21-0668,relative to the fine for the sale or possession of cannabis.,,,,Max Abramson,,12/29/2020
21-0669,relative to the seizure of personal computers and other electronic devices in child sexual assault cases.,,,,Dick Marston,,12/23/2020
21-0670,relative to including under the meals and rooms tax facilitators of Internet transactions of motor vehicle rentals and facilitators of Internet transactions of room occupancies.,,,,Sherman Packard,"Norman Major, Susan Almy, Patrick Abrami",12/1/2020
21-0671,relative to the requirement that certain governing bodies submit recommendations to the budget committee.,,,,Tony Piemonte,"Kenneth Weyler, Michael Sylvia, Chris True, Kevin Verville, Jess Edwards, Peter Torosian, Bill Gannon",12/15/2020
21-0672,"allowing the New Hampshire Masons to issue decals for motor vehicle plates.
",,,,Sherman Packard,"Kenneth Weyler, Steve Shurtleff, John Burt",12/22/2020
21-0673,relative to the ability of a parent to enroll a child in the public school of their choice.,,,,Glenn Cordelli,"Keith Ammon, Claire Rouillard, Travis O'Hara",12/15/2020
21-0674,"relative to motorcycle auxiliary lamping, and adding the New Hampshire Motorcyclists' Rights Organization to the traffic safety commission.
",,,,Sherman Packard,,12/29/2020
21-0675,precluding the secretary of state from running for another office while serving as secretary of state.,,,,Andrew Bouldin,"Peter Bixby, Amanda Bouldin, Patricia Cornell, Betty Gay, Constance Van Houten, Casey Conley",12/29/2020
21-0676,relative to provision of menstrual products for students in need.,,,,Judy Aron,"Lynne Ober, Claire Rouillard, Barbara Comtois, Alicia Lekas",12/29/2020
